Provincia,Referencia,Fecha Alta,Tipo,Operación,Superficie,Precio Venta,Fecha Venta,Vendedor
Lleida,1,2004-01-01,Parking,Alquiler,291,2133903,2004-06-19,Carmen
Girona,2,2004-01-01,Local,Venta,199,1945424,2004-04-19,Pedro
Girona,4,2004-01-02,Parking,Alquiler,285,1815450,2004-04-27,Jesús
Tarragona,5,2004-01-02,Suelo,Venta,152,1138024,2004-07-10,María
Girona,8,2004-01-03,Oficina,Venta,235,2158475,2004-10-31,Jesús
Lleida,9,2004-01-04,Piso,Alquiler,108,1024380,2004-12-28,Jesús
Lleida,10,2004-01-04,Parking,Venta,299,2042768,2004-10-06,Joaquín
Barcelona,13,2004-01-04,Parking,Venta,300,2937300,2004-11-04,Jesús
Barcelona,18,2004-01-06,Suelo,Venta,283,1679605,2004-06-06,Carmen
Barcelona,20,2004-01-08,Oficina,Alquiler,148,1169496,2004-08-19,María
Barcelona,21,2004-01-09,Industrial,Venta,228,2020992,2004-06-12,Carmen
Girona,23,2004-01-10,Casa,Alquiler,183,1438929,2004-04-21,Luisa
Barcelona,25,2004-01-10,Oficina,Alquiler,124,1170684,2004-05-23,Jesús
Barcelona,28,2004-01-12,Casa,Alquiler,187,1660560,2004-06-16,Joaquín
Barcelona,31,2004-01-13,Industrial,Alquiler,142,1405374,2004-09-24,Jesús
Barcelona,33,2004-01-15,Local,Alquiler,181,1504110,2004-07-03,María
Barcelona,34,2004-01-15,Casa,Venta,281,2483197,2004-11-01,María
Tarragona,35,2004-01-15,Industrial,Alquiler,257,1799771,2004-12-31,Luisa
Tarragona,36,2004-01-16,Industrial,Alquiler,140,1054340,2004-12-02,Luisa
Girona,37,2004-01-16,Local,Venta,229,1160572,2004-07-09,Pedro
Tarragona,38,2004-01-17,Suelo,Alquiler,300,1492800,2004-12-08,Joaquín
Tarragona,39,2004-01-18,Parking,Alquiler,215,1154980,2005-01-14,Joaquín
Girona,40,2004-01-18,Oficina,Venta,182,1057784,2004-07-22,Jesús
Barcelona,41,2004-01-18,Piso,Venta,230,1421860,2004-09-23,Jesús
Tarragona,42,2004-01-19,Oficina,Venta,168,1426992,2004-11-20,Jesús
Girona,44,2004-01-19,Casa,Venta,278,1537062,2004-12-16,María
Barcelona,45,2004-01-20,Oficina,Alquiler,287,2851058,2005-01-02,Joaquín
Lleida,46,2004-01-20,Oficina,Alquiler,224,1294048,2004-10-29,Carmen
Barcelona,48,2004-01-20,Industrial,Venta,284,1457488,2004-07-06,Jesús
