Provincia,Referencia,Fecha Alta,Tipo,Operación,Superficie,Precio Venta,Fecha Venta,Vendedor
Tarragona,30,2004-01-12,Local,Alquiler,201,939072,2004-08-04,Carmen
Tarragona,50,2004-01-20,Local,Alquiler,235,957625,2004-11-13,Carmen
Barcelona,67,2004-01-27,Industrial,Alquiler,219,948927,2004-10-15,Jesús
Tarragona,124,2004-02-18,Suelo,Alquiler,212,926228,2004-09-05,Joaquín
Tarragona,160,2004-03-04,Casa,Venta,211,875228,2004-07-23,María
Barcelona,331,2004-05-05,Parking,Alquiler,205,990355,2004-12-08,Luisa
Barcelona,394,2004-05-31,Local,Alquiler,203,946792,2005-04-17,María
Tarragona,442,2004-06-16,Parking,Venta,211,872063,2005-02-26,Pedro
Lleida,462,2004-06-22,Oficina,Alquiler,204,924732,2005-04-28,María
Tarragona,468,2004-06-24,Local,Venta,215,870105,2005-04-02,Jesús
Lleida,501,2004-07-05,Casa,Venta,229,965006,2005-02-02,Pedro
Barcelona,527,2004-07-11,Industrial,Alquiler,231,935781,2004-11-13,Joaquín
Lleida,786,2004-10-06,Parking,Venta,224,913248,2005-07-03,Jesús
Barcelona,856,2004-11-03,Industrial,Venta,247,995657,2005-06-29,Jesús
Tarragona,882,2004-11-11,Local,Venta,220,970420,2005-08-28,Luisa
Girona,1010,2004-12-27,Parking,Venta,211,945702,2005-12-04,Luisa
Barcelona,1148,2005-02-18,Oficina,Alquiler,233,984192,2006-01-28,Jesús
Lleida,1211,2005-03-09,Local,Venta,229,935694,2005-10-18,Jesús
Girona,1295,2005-04-07,Oficina,Alquiler,214,899228,2005-12-24,Luisa
Tarragona,1335,2005-04-22,Local,Venta,229,954930,2005-08-15,María
Lleida,1444,2005-05-29,Piso,Alquiler,204,958392,2006-01-21,Joaquín
Barcelona,1663,2005-08-18,Parking,Alquiler,224,986048,2006-02-10,María
Barcelona,1667,2005-08-22,Local,Venta,209,843106,2006-01-24,María
Barcelona,1734,2005-09-13,Oficina,Alquiler,223,974956,2006-07-23,Luisa
Tarragona,1757,2005-09-24,Suelo,Alquiler,204,878424,2006-07-23,Carmen
Barcelona,1826,2005-10-16,Suelo,Venta,228,994536,2006-03-27,Joaquín
Barcelona,1850,2005-10-28,Parking,Alquiler,218,991900,2006-05-28,Jesús
Girona,2270,2006-03-23,Oficina,Venta,202,823150,2007-01-31,Jesús
Girona,2285,2006-03-30,Piso,Venta,203,875336,2006-08-28,María
Lleida,2339,2006-04-16,Local,Venta,211,958151,2007-02-01,Carmen
Girona,2347,2006-04-21,Oficina,Venta,205,886215,2006-12-05,Carmen
Barcelona,2427,2006-05-21,Parking,Venta,213,928041,2006-12-10,Luisa
Barcelona,2482,2006-06-06,Industrial,Venta,215,984915,2006-12-07,María
Lleida,2507,2006-06-15,Oficina,Venta,219,958563,,
Lleida,2724,2006-09-10,Parking,Venta,202,874256,,
Tarragona,2783,2006-10-06,Local,Venta,223,985883,2007-04-14,Luisa
Girona,2886,2006-11-10,Suelo,Alquiler,201,850029,2007-04-22,María
Lleida,2896,2006-11-14,Oficina,Alquiler,234,979056,2007-04-26,Jesús
Barcelona,2936,2006-11-30,Casa,Venta,219,883446,,
Girona,3006,2006-12-26,Suelo,Alquiler,219,913449,,
Girona,3061,2007-01-14,Piso,Alquiler,228,932292,,
Girona,3143,2007-02-17,Piso,Venta,241,979183,,
Lleida,3160,2007-02-22,Industrial,Venta,238,992698,,
Girona,3163,2007-02-23,Local,Alquiler,234,973206,,
Barcelona,3303,2007-04-12,Local,Alquiler,229,916229,,
